 2019 Top 15 Metropolitan Areas - Housing Quality - All Occupied Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenure Filter: Renter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variable 1: Top 15 Metropolitan Areas, Variable 2: Race of Householder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
(Metro areas are shown from largest to smallest, according to the population as of 2013.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[Estimates and Margins of Error in thousands of housing units, except as indicated. Medians are rounded to four significant digits as part of disclosure avoidance protocol. Margin of Error is calculated at the 90% confidence interval. Weighting consistent with Census 2010. Blank cells represent zero; Z rounds to zero; '.' Represents not applicable or no cases in sample; S represents estimates that did not meet publication standards or withheld to avoid disclosure]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristics,Top 15 Metropolitan Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New York City,,,,,,,Los Angeles  ,,,,,,,Chicago      ,,,,,,,Dallas       ,,,,,,,Houston      ,,,,,,,Philadelphia ,,,,,,Washington DC,,,,,,,Miami        ,,,,,,,Atlanta      ,,,,,,,Boston       ,,,,,,,San Francisco,,,,,,,Phoenix      ,,,,,,,Riverside    ,,,,,,,Detroit      ,,,,,,,Seattle      ,,,,,,
,Race of Householder,,,,,,,Race of Householder,,,,,,,Race of Householder,,,,,,,Race of Householder,,,,,,,Race of Householder,,,,,,,Race of Householder,,,,,,Race of Householder,,,,,,,Race of Householder,,,,,,,Race of Householder,,,,,,,Race of Householder,,,,,,,Race of Householder,,,,,,,Race of Householder,,,,,,,Race of Householder,,,,,,,Race of Householder,,,,,,,Race of Householder,,,,,,
,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     ,Total                                 ,White alone                           ,Black alone                           ,American Indian or Alaska Native alone,Asian alone                           ,Pacific Islander alone* ,Two or more races                     
,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
      Total                                                   ,"3,732.4","2,300.9",990.7,           S,351.5,           S,52.1,"2,309.9","1,659.2",214.2,42.2,341.7,           S,38.4,"1,237.3",736.6,371.3,25.2,82.7,           S,           S,"1,076.4",688.8,294.1,           S,71.9,           S,           S,898.5,546.9,259.1,14.6,61.4,           S,15.6,716.7,390.7,277.0,           S,36.4,           S,852.5,418.4,309.2,16.6,86.4,           S,17.2,874.1,613.0,238.7,           S,13.1,           S,           S,795.3,351.2,380.3,           S,39.8,           S,           S,753.7,544.9,114.8,           S,68.7,           S,16.0,778.4,452.1,97.1,17.3,186.7,           S,16.7,606.7,465.9,77.4,16.4,35.5,           S,           S,478.1,374.0,62.4,           S,22.8,           S,           S,494.0,244.5,210.8,           S,21.9,           S,11.7,595.8,421.0,78.6,10.3,68.9,           S,11.2
                                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
Housing Adequacy1                                    ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
                                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
Severely inadequate2                                 ,163.4,93.7,55.2,           S,           S,.,           S,48.0,34.6,           S,.,           S,.,           S,           S,           S,           S,.,.,.,.,           S,           S,           S,           S,.,.,.,16.7,12.5,           S,.,.,.,           S,           S,           S,           S,.,.,.,23.4,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,12.4,           S,           S,.,           S,.,           S,19.1,11.5,           S,.,           S,.,           S,           S,           S,.,.,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.
